,Rent,Neighborhood,Title,Posting Date,Url,Bed/Bath
51,4099,Boston,1 Bedroom 1 Bathroom Luxury Apartment,Fri 11 Oct 03:59:34 PM,https://boston.craigslist.org/gbs/apa/d/boston-1-bedroom-1-bathroom-luxury/6982112205.html,1BR / 1Ba
52,3580,Boston,One Bedroom One Bathroom Luxury Apartment,Fri 11 Oct 03:59:34 PM,https://boston.craigslist.org/gbs/apa/d/boston-one-bedroom-one-bathroom-luxury/6989807384.html,1BR / 1Ba
53,5480,Boston,Two bedroom Two bathroom Luxury Apartment,Fri 11 Oct 03:59:33 PM,https://boston.craigslist.org/gbs/apa/d/boston-two-bedroom-two-bathroom-luxury/6989813404.html,2BR / 2Ba
54,2500,Boston,Beautiful One bedroom one bathroom Loft apartment,Fri 11 Oct 03:59:32 PM,https://boston.craigslist.org/gbs/apa/d/boston-beautiful-one-bedroom-one/6991751847.html,1BR / 1Ba
55,2500,Boston,Beautiful One bedroom One bathroom Loft style apartment,Fri 11 Oct 03:59:32 PM,https://boston.craigslist.org/gbs/apa/d/boston-beautiful-one-bedroom-one/6991762837.html,1BR / 1Ba
56,3100,Boston,Two bedroom two bathroom loft style apartment,Fri 11 Oct 03:59:31 PM,https://boston.craigslist.org/gbs/apa/d/boston-two-bedroom-two-bathroom-loft/6991813750.html,2BR / 1Ba
57,2500,Boston,One Bedroom One Bathroom Luxury Apartment,Fri 11 Oct 03:59:30 PM,https://boston.craigslist.org/gbs/apa/d/boston-one-bedroom-one-bathroom-luxury/6991766610.html,1BR / 1Ba
58,1650,Arlington,"GREAT LOCAL ON Mass Av  sunny 1 Bd, Avail 11/1/19  CAT OK heat & wtr",Fri 11 Oct 03:59:28 PM,https://boston.craigslist.org/gbs/apa/d/arlington-great-local-on-mass-av-sunny/6997563810.html,1BR / 1Ba
59,1850,Somerville,Sweet 1 Bed --- 10 Mins to the T -- Heat Included -- 11/1,Fri 11 Oct 03:59:23 PM,https://boston.craigslist.org/gbs/apa/d/somerville-sweet-1-bed-mins-to-the-heat/6997563751.html,1BR / 1Ba
60,2500,Boston,Beautiful One Bedroom One Bathroom Luxury Apartment,Fri 11 Oct 03:59:21 PM,https://boston.craigslist.org/gbs/apa/d/boston-beautiful-one-bedroom-one/6991266499.html,1BR / 1Ba
